"Date","rv.AEX","rv.AORD","rv.BFX","rv.BSESN","rv.BVLG","rv.BVSP","rv.DJI","rv.FCHI","rv.FTMIB","rv.FTSE","rv.GDAXI","rv.GSPTSE","rv.HSI","rv.IBEX","rv.IXIC","rv.KS11","rv.KSE","rv.MXX","rv.N225","rv.NSEI","rv.OMXC20","rv.OMXHPI","rv.OMXSPI","rv.OSEAX","rv.RUT","rv.SMSI","rv.SPX","rv.SSEC","rv.SSMI","rv.STI","rv.STOXX50E","rv.BFX","rv.BSESN","rv.BVLG","rv.FCHI","rv.FTMIB","rv.NSEI","rv.OMXC20","rv.OMXHPI","rv.OMXSPI","rv.OSEAX","rv.SMSI","rv.BFX","rv.BSESN","rv.BVLG","rv.FCHI","rv.FTMIB","rv.NSEI","rv.OMXC20","rv.OMXHPI","rv.OMXSPI","rv.OSEAX","rv.SMSI"
"2019-07-05",7.88e-06,1.28e-05,1.55e-05,1.28e-05,1.71e-05,2.67e-05,5.56e-06,8.53e-06,1.93e-05,6.08e-06,7.08e-06,3.01e-06,2.18e-05,9.13502e-06,7.6e-06,2.82e-05,8.73e-05,1.49e-05,4.51e-06,1.06e-05,3.44e-05,3.4e-05,1.2e-05,1.44e-05,9.05e-06,1.41e-05,1.29246e-05,3.4e-05,7.18e-06,1.19e-05,8.28e-06,2.18e-05,3.03e-05,1.86e-05,1.6e-05,2.7e-05,2.27e-05,3.38e-05,2.62e-05,2.67e-05,4.72e-05,3.74e-05,2.3e-05,2.81e-05,2.39e-05,1.05e-05,2.25e-05,2.37e-05,3.72e-05,1.41e-05,1.68e-05,1.76e-05,2.59e-05
"2019-07-08",2.3e-05,1.34e-05,3.11e-05,8.28e-05,1.57e-05,4.81e-05,1.85e-05,2.42e-05,2.53e-05,2.47e-05,3.75e-05,1.05e-05,1.56e-05,4.41297e-05,1.9e-05,3.55e-05,3.4e-05,4.09e-05,1.31e-05,7.79e-05,3.94e-05,6.29e-05,0.000109157,1.83e-05,2.58e-05,3.77e-05,2.75643e-05,2.78e-05,2.86e-05,1.75e-05,2.76e-05,1.55e-05,1.28e-05,1.71e-05,8.53e-06,1.93e-05,1.06e-05,3.44e-05,3.4e-05,1.2e-05,1.44e-05,1.41e-05,2.18e-05,3.03e-05,1.86e-05,1.6e-05,2.7e-05,2.27e-05,3.38e-05,2.62e-05,2.67e-05,4.72e-05,3.74e-05
"2019-07-09",2.18e-05,9.53e-06,4.13e-05,9.27e-05,1.33e-05,1.47e-05,1.78e-05,2.17e-05,2.35e-05,1.43e-05,2.12e-05,6.27e-06,8.69e-05,2.1179e-05,2.09e-05,5.35e-05,4.47e-05,4.81e-05,1.81e-05,8.17e-05,5.57e-05,2.23e-05,3.18e-05,2.96e-05,1.3e-05,2.5e-05,4.6381e-06,0.000120059,1.5e-05,2.53e-05,1.79e-05,3.11e-05,8.28e-05,1.57e-05,2.42e-05,2.53e-05,7.79e-05,3.94e-05,6.29e-05,0.000109157,1.83e-05,3.77e-05,1.55e-05,1.28e-05,1.71e-05,8.53e-06,1.93e-05,1.06e-05,3.44e-05,3.4e-05,1.2e-05,1.44e-05,1.41e-05
"2019-07-10",2.47e-05,1.11e-05,4.65e-05,7.73e-05,1.48e-05,1.47e-05,9.35e-06,3.06e-05,2.65e-05,2.35e-05,2.79e-05,9.49e-06,3.27e-05,9.03523e-06,1.46e-05,4.01e-05,6.52e-05,9.06e-05,2.03e-05,6.91e-05,7.03e-05,3.48e-05,3.53e-05,3.45e-05,1.08e-05,2.3e-05,1.39087e-05,3.65e-05,4.15e-05,3.44e-05,5.08e-05,4.13e-05,9.27e-05,1.33e-05,2.17e-05,2.35e-05,8.17e-05,5.57e-05,2.23e-05,3.18e-05,2.96e-05,2.5e-05,3.11e-05,8.28e-05,1.57e-05,2.42e-05,2.53e-05,7.79e-05,3.94e-05,6.29e-05,0.000109157,1.83e-05,3.77e-05
"2019-07-11",2.99e-05,2.15e-05,3.26e-05,4.39e-05,2.2e-05,3.11e-05,2.11e-05,3.19e-05,3.49e-05,2.88e-05,3.04e-05,1.49e-05,2.32e-05,2.78084e-05,3.01e-05,2.83e-05,2.5e-05,4.97e-05,1.73e-05,5.05e-05,6.35e-05,1.76e-05,3.39e-05,2.37e-05,1.77e-05,2.6e-05,1.35647e-05,2.79e-05,4.09e-05,2.91e-05,3.38e-05,4.65e-05,7.73e-05,1.48e-05,3.06e-05,2.65e-05,6.91e-05,7.03e-05,3.48e-05,3.53e-05,3.45e-05,2.3e-05,4.13e-05,9.27e-05,1.33e-05,2.17e-05,2.35e-05,8.17e-05,5.57e-05,2.23e-05,3.18e-05,2.96e-05,2.5e-05
"2019-07-12",2.38e-05,1.36e-05,4.37e-05,2.54e-05,1.74e-05,4.63e-05,1.25e-05,3.86e-05,2.37e-05,2.23e-05,3.72e-05,6.66e-06,4.11e-05,2.03515e-05,1.65e-05,3.71e-05,2.61e-05,3.24e-05,9.22e-06,2.35e-05,4.7e-05,1.77e-05,2.09e-05,2.24e-05,2.44e-05,2.28e-05,7.35794e-06,4.84e-05,2.55e-05,4.05e-05,3.22e-05,3.26e-05,4.39e-05,2.2e-05,3.19e-05,3.49e-05,5.05e-05,6.35e-05,1.76e-05,3.39e-05,2.37e-05,2.6e-05,4.65e-05,7.73e-05,1.48e-05,3.06e-05,2.65e-05,6.91e-05,7.03e-05,3.48e-05,3.53e-05,3.45e-05,2.3e-05
"2019-07-15",1.23e-05,1.12e-05,3.21e-05,2.97e-05,9.71e-06,5.07e-05,1.04e-05,1.82e-05,1.23e-05,1.21e-05,2.35e-05,4.63e-06,1.81e-05,5.70866e-06,6.89e-06,2.44e-05,2.1e-05,2.98e-05,2.17e-05,2.57e-05,8.93e-05,1.69e-05,1.69e-05,1.83e-05,1.6e-05,2.75e-05,5.78829e-06,5.36e-05,4.28e-05,1.56e-05,1.66e-05,4.37e-05,2.54e-05,1.74e-05,3.86e-05,2.37e-05,2.35e-05,4.7e-05,1.77e-05,2.09e-05,2.24e-05,2.28e-05,3.26e-05,4.39e-05,2.2e-05,3.19e-05,3.49e-05,5.05e-05,6.35e-05,1.76e-05,3.39e-05,2.37e-05,2.6e-05
"2019-07-16",4.28e-05,3.15e-05,0.000150183,3.34e-05,1.73e-05,4.33e-05,7.94e-06,2.96e-05,2.34e-05,2.04e-05,5.78e-05,6.22e-06,1.81e-05,2.34931e-05,6.89e-06,3.31e-05,7.77e-05,4.18e-05,2.17e-05,3.04e-05,0.000103607,3.87e-05,6.12e-05,3.38e-05,1.96e-05,2.16e-05,3.23902e-06,5.36e-05,4.22e-05,2.08e-05,3.64e-05,3.21e-05,2.97e-05,9.71e-06,1.82e-05,1.23e-05,2.57e-05,8.93e-05,1.69e-05,1.69e-05,1.83e-05,2.75e-05,4.37e-05,2.54e-05,1.74e-05,3.86e-05,2.37e-05,2.35e-05,4.7e-05,1.77e-05,2.09e-05,2.24e-05,2.28e-05
"2019-07-17",1.82e-05,7.38e-06,2.94e-05,2.33e-05,1.37e-05,4.84e-05,1.05e-05,2.02e-05,2.76e-05,1.84e-05,2.86e-05,6.44e-06,1.88e-05,2.48172e-05,1.78e-05,4.69e-05,0.000104653,3.38e-05,2.17e-05,1.98e-05,7.74e-05,1.1e-05,1.59e-05,4.58e-05,2.27e-05,1.88e-05,7.66825e-06,1.94e-05,2.25e-05,1.35e-05,2.05e-05,0.000150183,3.34e-05,1.73e-05,2.96e-05,2.34e-05,3.04e-05,0.000103607,3.87e-05,6.12e-05,3.38e-05,2.16e-05,3.21e-05,2.97e-05,9.71e-06,1.82e-05,1.23e-05,2.57e-05,8.93e-05,1.69e-05,1.69e-05,1.83e-05,2.75e-05
"2019-07-18",2.72e-05,1.03e-05,2.1e-05,1.27e-05,1.87e-05,2.88e-05,1.37e-05,2.28e-05,2.38e-05,2.19e-05,3.52e-05,7.43e-06,2.86e-05,3.07098e-05,1.73e-05,2.86e-05,9.12e-05,2.53e-05,2.2e-05,1.19e-05,5.14e-05,2.04e-05,4.83e-05,5.57e-05,2.84e-05,2.13e-05,1.7752e-05,2.77e-05,3.96e-05,1.97e-05,2.58e-05,2.94e-05,2.33e-05,1.37e-05,2.02e-05,2.76e-05,1.98e-05,7.74e-05,1.1e-05,1.59e-05,4.58e-05,1.88e-05,0.000150183,3.34e-05,1.73e-05,2.96e-05,2.34e-05,3.04e-05,0.000103607,3.87e-05,6.12e-05,3.38e-05,2.16e-05
