"rv.BFX","rv.BSESN","rv.BVLG","rv.FCHI","rv.FTMIB","rv.NSEI","rv.OMXC20","rv.OMXHPI","rv.OMXSPI","rv.OSEAX","rv.SMSI"
4.13e-05,9.27e-05,1.33e-05,2.17e-05,2.35e-05,8.17e-05,5.57e-05,2.23e-05,3.18e-05,2.96e-05,2.5e-05
4.65e-05,7.73e-05,1.48e-05,3.06e-05,2.65e-05,6.91e-05,7.03e-05,3.48e-05,3.53e-05,3.45e-05,2.3e-05
3.26e-05,4.39e-05,2.2e-05,3.19e-05,3.49e-05,5.05e-05,6.35e-05,1.76e-05,3.39e-05,2.37e-05,2.6e-05
4.37e-05,2.54e-05,1.74e-05,3.86e-05,2.37e-05,2.35e-05,4.7e-05,1.77e-05,2.09e-05,2.24e-05,2.28e-05
3.21e-05,2.97e-05,9.71e-06,1.82e-05,1.23e-05,2.57e-05,8.93e-05,1.69e-05,1.69e-05,1.83e-05,2.75e-05
0.000150183,3.34e-05,1.73e-05,2.96e-05,2.34e-05,3.04e-05,0.000103607,3.87e-05,6.12e-05,3.38e-05,2.16e-05
2.94e-05,2.33e-05,1.37e-05,2.02e-05,2.76e-05,1.98e-05,7.74e-05,1.1e-05,1.59e-05,4.58e-05,1.88e-05
2.1e-05,1.27e-05,1.87e-05,2.28e-05,2.38e-05,1.19e-05,5.14e-05,2.04e-05,4.83e-05,5.57e-05,2.13e-05
5.78e-05,1.68e-05,1.51e-05,8e-05,3.86e-05,1.65e-05,4.74e-05,9.79e-05,4.36e-05,7.86e-05,4.4e-05
7.13e-05,4.26e-05,1.88e-05,5.14e-05,6.88e-05,4.26e-05,6.32e-05,3.91e-05,2.76e-05,2.25e-05,4.31e-05
3.8e-05,6.16e-05,1.43e-05,2.46e-05,4.36e-05,5.77e-05,3.74e-05,2.13e-05,2.91e-05,1.01e-05,3.5e-05
3.48e-05,5e-05,1.2e-05,4.07e-05,2.83e-05,4.56e-05,3.13e-05,3.74e-05,3.18e-05,4.99e-05,3.41e-05
4.04e-05,5.12e-05,2.29e-05,1.96e-05,1.95e-05,5.24e-05,0.000126506,3.1e-05,2.27e-05,2.02e-05,3.19e-05
0.000228315,5.47e-05,6.76e-05,0.000167831,0.000205072,5.81e-05,7.39e-05,0.000129325,4.9e-05,5.85e-05,0.000168546
2.41e-05,4.84e-05,1.54e-05,2.88e-05,2.52e-05,4.98e-05,3.07e-05,3.86e-05,1.72e-05,1.97e-05,3.68e-05
2.61e-05,6.63e-05,1.18e-05,3.25e-05,2.35e-05,5.7e-05,3.41e-05,1.24e-05,1.95e-05,1.97e-05,3.07e-05
5.51e-05,5.79e-05,2.05e-05,4.89e-05,4.3e-05,5.92e-05,6.55e-05,2.17e-05,3.57e-05,3.38e-05,5.51e-05
5.03e-05,5.79e-05,2.25e-05,2.66e-05,5.07e-05,5.83e-05,8.02e-05,2.2e-05,1.99e-05,7.66e-05,3.3e-05
6.12e-05,7.06e-05,4.15e-05,6.1e-05,9.05e-05,6.39e-05,5.63e-05,4.19e-05,5.66e-05,6.78e-05,7.47e-05
0.0001506,0.000164378,5.14e-05,0.000144412,0.000123017,0.000147032,0.000122437,8.71e-05,8.76e-05,0.000181776,9.24e-05
0.000100112,0,3.59e-05,0.000110708,7.99e-05,8.23e-05,0.000122437,6.09e-05,7.39e-05,0.000138545,7.94e-05
7.64e-05,8.77e-05,3.52e-05,7.99e-05,6.67e-05,9.01e-05,0.000129363,5.36e-05,7.5e-05,6.95e-05,6.52e-05
0.000136391,0.000102764,5.16e-05,0.000107059,0.000106486,8.96e-05,0.00013059,4.95e-05,5.34e-05,7.25e-05,9.16e-05
8.77e-05,6.93e-05,3.18e-05,5.67e-05,8.86e-05,6.57e-05,0.000202387,0.000102603,0.000102059,0.000216772,6.03e-05
