"rv.AEX","rv.AORD","rv.BVSP","rv.DJI","rv.GDAXI","rv.GSPTSE","rv.IXIC","rv.RUT","rv.SPX","rv.SSMI","rv.STOXX50E"
2.3e-05,1.34e-05,4.81e-05,1.85e-05,3.75e-05,1.05e-05,1.9e-05,2.58e-05,2.75643e-05,2.86e-05,2.76e-05
2.18e-05,9.53e-06,1.47e-05,1.78e-05,2.12e-05,6.27e-06,2.09e-05,1.3e-05,4.6381e-06,1.5e-05,1.79e-05
2.47e-05,1.11e-05,1.47e-05,9.35e-06,2.79e-05,9.49e-06,1.46e-05,1.08e-05,1.39087e-05,4.15e-05,5.08e-05
2.99e-05,2.15e-05,3.11e-05,2.11e-05,3.04e-05,1.49e-05,3.01e-05,1.77e-05,1.35647e-05,4.09e-05,3.38e-05
2.38e-05,1.36e-05,4.63e-05,1.25e-05,3.72e-05,6.66e-06,1.65e-05,2.44e-05,7.35794e-06,2.55e-05,3.22e-05
1.23e-05,1.12e-05,5.07e-05,1.04e-05,2.35e-05,4.63e-06,6.89e-06,1.6e-05,5.78829e-06,4.28e-05,1.66e-05
4.28e-05,3.15e-05,4.33e-05,7.94e-06,5.78e-05,6.22e-06,6.89e-06,1.96e-05,3.23902e-06,4.22e-05,3.64e-05
1.82e-05,7.38e-06,4.84e-05,1.05e-05,2.86e-05,6.44e-06,1.78e-05,2.27e-05,7.66825e-06,2.25e-05,2.05e-05
2.72e-05,1.03e-05,2.88e-05,1.37e-05,3.52e-05,7.43e-06,1.73e-05,2.84e-05,1.7752e-05,3.96e-05,2.58e-05
4.35e-05,1.02e-05,2.68e-05,1.89e-05,4.55e-05,6.23e-06,2.61e-05,1.89e-05,2.56736e-05,3.67e-05,9.03e-05
7.56e-05,1.31e-05,2.53e-05,2.31e-05,3.42e-05,1.12e-05,3.5e-05,3.11e-05,3.66747e-05,2.6e-05,6.53e-05
2.09e-05,7.76e-06,4.67e-05,2.01e-05,2.74e-05,5.65e-06,2.12e-05,2.23e-05,8.00914e-06,2.97e-05,2.72e-05
2.35e-05,1.14e-05,2.72e-05,1.81e-05,2.85e-05,7.42e-06,2.13e-05,1.67e-05,1.20717e-05,2.85e-05,5.32e-05
2.15e-05,1.48e-05,1.46e-05,1.26e-05,2.23e-05,6.56e-06,1.57e-05,2.69e-05,2.06648e-05,2.45e-05,1.69e-05
0.000106759,9.32e-06,6.75e-05,2.44e-05,0.00010821,1.4e-05,3.51e-05,3.21e-05,1.45084e-05,8.19e-05,0.000153081
2.56e-05,1.2e-05,4.06e-05,6.87e-06,2.16e-05,5.31e-06,1.47e-05,1.14e-05,9.36465e-06,3.5e-05,2.19e-05
3.23e-05,1.14e-05,3.76e-05,8.97e-06,2.17e-05,6.39e-06,2.17e-05,2.1e-05,5.05876e-06,2.2e-05,1.79e-05
3.59e-05,2.16e-05,3.28e-05,1.93e-05,7.67e-05,8.67e-06,2.13e-05,2.11e-05,1.05187e-05,3.84e-05,4.74e-05
2.78e-05,9.26e-06,0.000104851,5.74e-05,2.93e-05,3.22e-05,0.000133944,0.000160719,0.000142186,3.23e-05,2.37e-05
0.00014823,2.26e-05,0.000158811,0.000168165,7.19e-05,4.07e-05,0.000234741,0.00014746,0.000189888,3.23e-05,6.55e-05
0.000116698,2.49e-05,8.63e-05,7.51e-05,0.000140919,3.42e-05,7.47e-05,7.12e-05,4.14024e-05,0.000105527,0.000399852
6.47e-05,2.33e-05,6.88e-05,0.000169134,8.39e-05,3.42e-05,0.000129931,7.12e-05,0.000254366,7.91e-05,0.000113327
9.25e-05,0.000481391,5.51e-05,0.000103553,0.000100468,6.78e-05,0.000130432,0.000112505,6.0053e-05,6.26e-05,8.39e-05
0.000120041,2.44e-05,5.91e-05,0.000191802,9.97e-05,2.9e-05,0.000147861,0.000101742,0.000194923,8.42e-05,0.000101994
4.36e-05,7.47e-05,4.38e-05,3.88e-05,6.83e-05,1.74e-05,4.1e-05,2.86e-05,8.30244e-05,4.02e-05,8.89e-05
4.27e-05,2.46e-05,5.6e-05,8.06e-05,8.39e-05,2.19e-05,8.61e-05,4.75e-05,5.36874e-05,4.03e-05,6.08e-05
