rv.AEX,rv.AORD,rv.BFX,rv.BSESN,rv.BVLG,rv.BVSP,rv.DJI,rv.FCHI,rv.FTMIB,rv.FTSE,rv.GDAXI,rv.GSPTSE,rv.HSI,rv.IBEX,rv.IXIC,rv.KS11,rv.KSE,rv.MXX,rv.N225,rv.NSEI,rv.OMXC20,rv.OMXHPI,rv.OMXSPI,rv.OSEAX,rv.RUT,rv.SMSI,rv.SPX,rv.SSEC,rv.SSMI,rv.STI,rv.STOXX50E,V1,V2,V3,
1.46E-05,2.16E-05,2.30E-05,2.81E-05,2.39E-05,0.000123668,2.99E-05,1.05E-05,2.25E-05,2.04E-05,1.47E-05,1.92E-05,3.37E-05,2.37E-05,2.41E-05,2.83E-05,3.84E-05,2.43E-05,1.76E-05,2.37E-05,3.72E-05,1.41E-05,1.68E-05,1.76E-05,3.21E-05,2.59E-05,1.23E-05,1.67E-05,2.31E-05,2.70E-05,1.06E-05,5.90E-10,4.06E-10,2.79E-10,
1.27E-05,1.30E-05,2.18E-05,3.03E-05,1.86E-05,8.02E-05,5.56E-06,1.60E-05,2.70E-05,2.01E-05,1.39E-05,5.55E-06,2.20E-05,7.03E-05,7.60E-06,4.64E-05,5.64E-05,3.21E-05,1.42E-05,2.27E-05,3.38E-05,2.62E-05,2.67E-05,4.72E-05,9.05E-06,3.74E-05,1.29E-05,3.77E-05,2.12E-05,2.09E-05,2.07E-05,1.03E-09,1.21E-09,1.42E-09,
7.88E-06,1.28E-05,1.55E-05,1.28E-05,1.71E-05,2.67E-05,5.56E-06,8.53E-06,1.93E-05,6.08E-06,7.08E-06,3.01E-06,2.18E-05,9.14E-06,7.60E-06,2.82E-05,8.73E-05,1.49E-05,4.51E-06,1.06E-05,3.44E-05,3.40E-05,1.20E-05,1.44E-05,9.05E-06,1.41E-05,1.29E-05,3.40E-05,7.18E-06,1.19E-05,8.28E-06,2.22E-10,5.07E-10,1.16E-09,
2.30E-05,1.34E-05,3.11E-05,8.28E-05,1.57E-05,4.81E-05,1.85E-05,2.42E-05,2.53E-05,2.47E-05,3.75E-05,1.05E-05,1.56E-05,4.41E-05,1.90E-05,3.55E-05,3.40E-05,4.09E-05,1.31E-05,7.79E-05,3.94E-05,6.29E-05,0.000109157,1.83E-05,2.58E-05,3.77E-05,2.76E-05,2.78E-05,2.86E-05,1.75E-05,2.76E-05,1.67E-09,1.14E-09,7.73E-10,
2.18E-05,9.53E-06,4.13E-05,9.27E-05,1.33E-05,1.47E-05,1.78E-05,2.17E-05,2.35E-05,1.43E-05,2.12E-05,6.27E-06,8.69E-05,2.12E-05,2.09E-05,5.35E-05,4.47E-05,4.81E-05,1.81E-05,8.17E-05,5.57E-05,2.23E-05,3.18E-05,2.96E-05,1.30E-05,2.50E-05,4.64E-06,0.000120059,1.50E-05,2.53E-05,1.79E-05,2.31E-09,5.77E-09,1.44E-08,
2.47E-05,1.11E-05,4.65E-05,7.73E-05,1.48E-05,1.47E-05,9.35E-06,3.06E-05,2.65E-05,2.35E-05,2.79E-05,9.49E-06,3.27E-05,9.04E-06,1.46E-05,4.01E-05,6.52E-05,9.06E-05,2.03E-05,6.91E-05,7.03E-05,3.48E-05,3.53E-05,3.45E-05,1.08E-05,2.30E-05,1.39E-05,3.65E-05,4.15E-05,3.44E-05,5.08E-05,8.21E-09,3.31E-09,1.33E-09,
2.99E-05,2.15E-05,3.26E-05,4.39E-05,2.20E-05,3.11E-05,2.11E-05,3.19E-05,3.49E-05,2.88E-05,3.04E-05,1.49E-05,2.32E-05,2.78E-05,3.01E-05,2.83E-05,2.50E-05,4.97E-05,1.73E-05,5.05E-05,6.35E-05,1.76E-05,3.39E-05,2.37E-05,1.77E-05,2.60E-05,1.36E-05,2.79E-05,4.09E-05,2.91E-05,3.38E-05,2.47E-09,1.39E-09,7.78E-10,
2.38E-05,1.36E-05,4.37E-05,2.54E-05,1.74E-05,4.63E-05,1.25E-05,3.86E-05,2.37E-05,2.23E-05,3.72E-05,6.66E-06,4.11E-05,2.04E-05,1.65E-05,3.71E-05,2.61E-05,3.24E-05,9.22E-06,2.35E-05,4.70E-05,1.77E-05,2.09E-05,2.24E-05,2.44E-05,2.28E-05,7.36E-06,4.84E-05,2.55E-05,4.05E-05,3.22E-05,1.05E-09,1.57E-09,2.34E-09,
1.23E-05,1.12E-05,3.21E-05,2.97E-05,9.71E-06,5.07E-05,1.04E-05,1.82E-05,1.23E-05,1.21E-05,2.35E-05,4.63E-06,1.81E-05,5.71E-06,6.89E-06,2.44E-05,2.10E-05,2.98E-05,2.17E-05,2.57E-05,8.93E-05,1.69E-05,1.69E-05,1.83E-05,1.60E-05,2.75E-05,5.79E-06,5.36E-05,4.28E-05,1.56E-05,1.66E-05,8.88E-10,1.60E-09,2.87E-09,
4.28E-05,3.15E-05,0.000150183,3.34E-05,1.73E-05,4.33E-05,7.94E-06,2.96E-05,2.34E-05,2.04E-05,5.78E-05,6.22E-06,1.81E-05,2.35E-05,6.89E-06,3.31E-05,7.77E-05,4.18E-05,2.17E-05,3.04E-05,0.000103607,3.87E-05,6.12E-05,3.38E-05,1.96E-05,2.16E-05,3.24E-06,5.36E-05,4.22E-05,2.08E-05,3.64E-05,1.75E-09,2.24E-09,2.87E-09,
