Date,rv.MXX,rv.SSEC
7/5/2019,4.09E-05,2.78E-05
7/8/2019,4.81E-05,0.000120059
7/9/2019,9.06E-05,3.65E-05
7/10/2019,4.97E-05,2.79E-05
7/11/2019,3.24E-05,4.84E-05
7/12/2019,2.98E-05,5.36E-05
7/15/2019,4.18E-05,5.36E-05
7/16/2019,3.38E-05,1.94E-05
7/17/2019,2.53E-05,2.77E-05
7/18/2019,8.10E-05,2.19E-05
7/19/2019,3.00E-05,3.73E-05
7/22/2019,4.83E-05,0.000112784
7/23/2019,6.22E-05,2.50E-05
7/24/2019,3.61E-05,3.57E-05
7/25/2019,5.52E-05,1.69E-05
7/26/2019,6.58E-05,1.69E-05
7/29/2019,4.33E-05,1.44E-05
7/30/2019,7.49E-05,1.95E-05
7/31/2019,0.00011974,1.99E-05
8/1/2019,0.000100803,1.85E-05
8/2/2019,6.53E-05,3.19E-05
8/5/2019,0.000125435,5.80E-05
8/6/2019,0.000101859,0.000123514
8/7/2019,7.51E-05,2.83E-05
8/8/2019,4.57E-05,3.50E-05
8/9/2019,4.18E-05,2.90E-05
8/12/2019,3.29E-05,2.88E-05
8/13/2019,8.27E-05,2.04E-05
8/14/2019,0.000121725,1.78E-05
8/15/2019,0.000114766,4.48E-05
8/16/2019,7.89E-05,2.62E-05
8/19/2019,0.000119985,4.31E-05
8/20/2019,5.31E-05,3.34E-05
8/21/2019,4.12E-05,1.45E-05
8/22/2019,3.56E-05,1.82E-05
8/23/2019,8.46E-05,5.46E-05
8/26/2019,3.19E-05,5.67E-05
8/27/2019,5.57E-05,5.45E-05
8/28/2019,2.11E-05,1.52E-05
8/29/2019,0.00010332,2.23E-05
8/30/2019,5.96E-05,3.75E-05
9/2/2019,5.96E-05,3.99E-05
9/3/2019,4.17E-05,1.83E-05
9/4/2019,3.92E-05,6.26E-05
9/5/2019,3.45E-05,5.32E-05
9/6/2019,7.16E-05,2.64E-05
9/9/2019,7.89E-05,3.84E-05
9/10/2019,4.52E-05,3.40E-05
9/11/2019,3.80E-05,3.62E-05
