"Date","rv.FTSE","rv.HSI","rv.IBEX","rv.KS11","rv.KSE","rv.N225","rv.STI"
"2019-07-05",2.47e-05,1.56e-05,4.41297e-05,3.55e-05,3.4e-05,1.31e-05,1.75e-05
"2019-07-08",1.43e-05,8.69e-05,2.1179e-05,5.35e-05,4.47e-05,1.81e-05,2.53e-05
"2019-07-09",2.35e-05,3.27e-05,9.03523e-06,4.01e-05,6.52e-05,2.03e-05,3.44e-05
"2019-07-10",2.88e-05,2.32e-05,2.78084e-05,2.83e-05,2.5e-05,1.73e-05,2.91e-05
"2019-07-11",2.23e-05,4.11e-05,2.03515e-05,3.71e-05,2.61e-05,9.22e-06,4.05e-05
"2019-07-12",1.21e-05,1.81e-05,5.70866e-06,2.44e-05,2.1e-05,2.17e-05,1.56e-05
"2019-07-15",2.04e-05,1.81e-05,2.34931e-05,3.31e-05,7.77e-05,2.17e-05,2.08e-05
"2019-07-16",1.84e-05,1.88e-05,2.48172e-05,4.69e-05,0.000104653,2.17e-05,1.35e-05
"2019-07-17",2.19e-05,2.86e-05,3.07098e-05,2.86e-05,9.12e-05,2.2e-05,1.97e-05
"2019-07-18",3.4e-05,2e-05,2.60809e-05,3.7e-05,5.7e-05,3.39e-05,1.55e-05
"2019-07-19",5.82e-05,2.04e-05,7.90361e-05,2.96e-05,0.000144977,2.38e-05,1.09e-05
"2019-07-22",2.61e-05,2.87e-05,1.41437e-05,2.61e-05,5.83e-05,2.76e-05,1.39e-05
"2019-07-23",5.48e-05,1.75e-05,3.26829e-05,2.5e-05,4.73e-05,3.08e-05,1.69e-05
"2019-07-24",2.7e-05,3.13e-05,2.14731e-05,3.36e-05,3.41e-05,1.39e-05,1.51e-05
"2019-07-25",4.21e-05,1.15e-05,0.000201843,5.13e-05,4.01e-05,2.67e-05,1.31e-05
"2019-07-26",1.72e-05,1.31e-05,3.06876e-05,3.34e-05,1.93e-05,2.11e-05,1.53e-05
"2019-07-29",3.36e-05,5.45e-05,1.68183e-05,7.74e-05,5.47e-05,2.3e-05,1.76e-05
"2019-07-30",4.58e-05,2.48e-05,0.00029397,2.27e-05,8.71e-05,2.5e-05,2.28e-05
"2019-07-31",2.22e-05,3.56e-05,1.38433e-05,8.5e-05,6.33e-05,2.12e-05,3.5e-05
"2019-08-01",7.13e-05,3.51e-05,4.35745e-05,4.74e-05,6.29e-05,3.21e-05,2.7e-05
"2019-08-02",0.00031938,2.48e-05,7.2087e-05,7.21e-05,2.44e-05,3.58e-05,1.73e-05
"2019-08-05",0.000167838,9.11e-05,5.77893e-05,0.000104275,0.000109053,7.62e-05,4.59e-05
"2019-08-06",6.68e-05,0.000180867,6.93838e-05,0.000220464,4.27e-05,0.000194074,5.05e-05
"2019-08-07",6.01e-05,5.89e-05,9.35226e-05,0.000120917,9.94e-05,6.11e-05,2.94e-05
"2019-08-08",5.94e-05,0.000104579,2.85077e-05,8.61e-05,0.000236257,5.58e-05,4.21e-05
"2019-08-09",4.9e-05,3.68e-05,3.40202e-05,2.66e-05,7.44e-05,2.42e-05,4.21e-05
"2019-08-12",7.65e-05,6.38e-05,8.62434e-05,3.21e-05,7.44e-05,2.42e-05,4.21e-05
"2019-08-13",9.96e-05,5.02e-05,0.000140779,3.61e-05,7.44e-05,4.49e-05,3e-05
"2019-08-14",5.97e-05,6.34e-05,0.000169261,2.88e-05,7.44e-05,2.39e-05,3.21e-05
"2019-08-15",0.000153793,0.000101881,0.000123101,2.88e-05,7.44e-05,5.07e-05,4.96e-05
"2019-08-16",9e-05,7.6e-05,9.65364e-05,2.57e-05,6.18e-05,2.05e-05,3.38e-05
"2019-08-19",8.99e-05,5.42e-05,2.42818e-05,1.92e-05,9.05e-05,1.82e-05,2.57e-05
"2019-08-20",5.18e-05,3.43e-05,5.72837e-05,3.04e-05,0.000101451,1.38e-05,1.35e-05
"2019-08-21",3.5e-05,3.04e-05,2.9551e-05,2.5e-05,0.00012285,1.1e-05,1.79e-05
"2019-08-22",7.54e-05,4.24e-05,8.07661e-05,4.16e-05,0.000131968,1.65e-05,2.05e-05
"2019-08-23",0.000117412,5.01e-05,8.41096e-05,3.18e-05,0.000191257,1.38e-05,1.66e-05
"2019-08-26",0.000117412,9.77e-05,5.81552e-05,3.52e-05,0.000104699,7.7e-05,2.72e-05
"2019-08-27",4.9e-05,3.62e-05,5.31579e-05,2.92e-05,0.000195451,1.53e-05,2.16e-05
"2019-08-28",7.33e-05,2.24e-05,2.66322e-05,2.57e-05,0.000122705,9.63e-06,2.77e-05
"2019-08-29",4.48e-05,6.75e-05,6.20427e-05,5.94e-05,0.000129588,2.41e-05,3.6e-05
"2019-08-30",2.89e-05,8.51e-05,1.76186e-05,2.37e-05,7.82e-05,1.43e-05,2.71e-05
"2019-09-02",4.54e-05,3.93e-05,1.32355e-05,1.77e-05,0.000186246,9.4e-06,1.44e-05
"2019-09-03",6.07e-05,4.45e-05,1.46032e-05,2.12e-05,7.82e-05,1.07e-05,1.86e-05
"2019-09-04",3.94e-05,0.000178427,1.04934e-05,4.11e-05,0.000186725,1.55e-05,3.27e-05
"2019-09-05",3.57e-05,5.68e-05,3.43038e-05,2.68e-05,0.000199715,4.35e-05,2.86e-05
"2019-09-06",3.12e-05,4.03e-05,2.02033e-05,1.95e-05,8.23e-05,2.03e-05,1.28e-05
"2019-09-09",5.34e-05,3.3e-05,6.65866e-06,1.95e-05,8.23e-05,2.71e-05,1.27e-05
"2019-09-10",5.43e-05,3.52e-05,8.74283e-05,2.16e-05,8.23e-05,1.44e-05,2.88e-05
"2019-09-11",4.56e-05,7.83e-05,3.91783e-05,3.47e-05,0.000126743,2.56e-05,1.78e-05
"2019-09-12",5.15e-05,4.15e-05,6.18954e-05,3.47e-05,0.000169097,2.07e-05,1.44e-05
"2019-09-13",2.55e-05,2.43e-05,2.07706e-05,3.47e-05,0.000109945,2.3e-05,1.21e-05
"2019-09-16",2.5e-05,2.41e-05,1.19332e-05,3.11e-05,4.98e-05,2.3e-05,2.13e-05
"2019-09-17",3.74e-05,2.63e-05,2.58426e-05,1.52e-05,6e-05,2.68e-05,1.3e-05
"2019-09-18",2.81e-05,1.69e-05,3.28077e-05,3.16e-05,3.94e-05,1.37e-05,1.5e-05
"2019-09-19",3.52e-05,5.37e-05,5.35734e-05,3.79e-05,5.56e-05,8.91e-05,1.69e-05
"2019-09-20",5.47e-05,2.42e-05,2.65574e-05,2.04e-05,4.76e-05,1.79e-05,1.88e-05
"2019-09-23",3.73e-05,4.13e-05,5.48803e-05,1.63e-05,4.65e-05,1.79e-05,1.99e-05
"2019-09-24",2.79e-05,4.6e-05,1.09936e-05,2.77e-05,9.44e-05,1.79e-05,2.21e-05
"2019-09-25",6.05e-05,7.29e-05,6.14941e-05,4.85e-05,6.06e-05,3.03e-05,2.07e-05
"2019-09-26",3.62e-05,2.6e-05,2.8987e-05,2.65e-05,6.02e-05,2.22e-05,1.42e-05
"2019-09-27",7.26e-05,3.72e-05,2.71047e-05,2.39e-05,2.4e-05,4.15e-05,1.82e-05
"2019-09-30",1.63e-05,4.2e-05,1.94317e-05,2.98e-05,5.79e-05,2.88e-05,3.57e-05
"2019-10-01",5.46e-05,4.2e-05,7.56497e-05,3.27e-05,5.4e-05,1.21e-05,1.73e-05
"2019-10-02",9.52e-05,3.24e-05,0.000265046,2.48e-05,3.11e-05,1.05e-05,3.33e-05
